City,State,Merge_Key_x,State_FIPS,Place_FIPS,NAME,Total_Population_2021,Median_Household_Income_2021,Median_Housing_Value_2021,Owner_Occupied_Units_2021,Bachelors_Degree_Count_2021,Masters_Degree_Count_2021,Unemployed_Count_2021,Unemployment_Rate_2021,Bachelors_Or_Higher_Rate_2021,Total_Population_2022,Median_Household_Income_2022,Median_Housing_Value_2022,Owner_Occupied_Units_2022,Bachelors_Degree_Count_2022,Masters_Degree_Count_2022,Unemployed_Count_2022,Unemployment_Rate_2022,Bachelors_Or_Higher_Rate_2022,Total_Population_2023,Median_Household_Income_2023,Median_Housing_Value_2023,Owner_Occupied_Units_2023,Bachelors_Degree_Count_2023,Masters_Degree_Count_2023,Unemployed_Count_2023,Unemployment_Rate_2023,Bachelors_Or_Higher_Rate_2023,Unnamed: 0,Merge_Key_y,n_restaurants,n_cuisine,n_cuisine_mexican,n_cuisine_pizza,n_cuisine_american,n_cuisine_japanese,n_cuisine_thai,n_cuisine_sushi,n_cuisine_italian,n_cuisine_chinese,n_cuisine_korean,n_cuisine_burger,n_cuisine_mediterranean,n_cuisine_breakfast,n_cuisine_seafood,n_cuisine_asian,n_cuisine_indian,n_cuisine_barbecue,n_cuisine_sandwich,n_cuisine_steak_house,n_cuisine_vietnamese,n_cuisine_noodle,n_cuisine_chicken,n_cuisine_ramen,n_cuisine_french,n_cuisine_pasta,n_cuisine_filipino,n_cuisine_coffee_shop,n_cuisine_salad,n_cuisine_pancake,n_cuisine_peruvian,n_cuisine_hawaiian,n_cuisine_greek,n_cuisine_regional,n_cuisine_poke,n_cuisine_lebanese,n_cuisine_kebab,n_cuisine_fish,n_cuisine_spanish,n_cuisine_diner,n_cuisine_tacos,n_cuisine_dessert,n_cuisine_deli,n_cuisine_ice_cream,n_cuisine_brazilian,n_cuisine_middle_eastern,n_cuisine_tex-mex,n_cuisine_lunch,n_cuisine_grill,n_cuisine_brunch,n_cuisine_southern,n_cuisine_italian_pizza,n_cuisine_latin_american,n_cuisine_wings,n_cuisine_german,n_cuisine_steak,n_cuisine_bagel,n_cuisine_tapas,n_cuisine_fish_and_chips,n_cuisine_international,n_cuisine_jamaican,n_cuisine_turkish,n_cuisine_cajun,n_cuisine_soup,n_cuisine_buffet,n_cuisine_donut,n_cuisine_mongolian_grill,n_cuisine_caribbean,n_cuisine_hot_dog,n_cuisine_bar_and_grill,n_venues,n_venue_type,n_venue_bar,n_venue_fitness_centre,n_venue_theatre,n_venue_sports_centre,n_venue_cinema,n_venue_public_bookcase,n_venue_pub,n_venue_nightclub,n_venue_arts_centre,n_venue_stadium,n_venue_public_building,n_venue_casino,n_cafe,n_cafe_cuisine,n_cafe_brand,n_cafe_brand_Starbucks,n_cafe_brand_Dunkin',n_cafe_amenity_cafe,n_cafe_amenity_fast_food,n_cafe_cuisine_coffee_shop,n_cafe_cuisine_bubble_tea,n_cafe_cuisine_donut,n_cafe_cuisine_sandwich,n_cafe_cuisine_breakfast,n_cafe_cuisine_american,n_cafe_cuisine_coffee,n_cafe_cuisine_pastry,n_cafe_cuisine_tea,n_cafe_cuisine_dessert,n_cafe_cuisine_bagel,n_cafe_cuisine_ice_cream,n_cafe_brand_Tim_Hortons,n_cafe_brand_Dutch_Bros._Coffee,amenity_arts_centre,amenity_attraction,amenity_bar,amenity_bench,amenity_botanical_gardens,amenity_cafe,amenity_casino,amenity_cinema,amenity_clinic,amenity_college,amenity_community garden,amenity_community_centre,amenity_concert_hall,amenity_conference_centre,amenity_courthouse,amenity_coworking_space,amenity_drinking_water,amenity_events_venue,amenity_exhibition_centre,amenity_fast_food,amenity_fire_station,amenity_fountain,amenity_grave_yard,amenity_historic_site,amenity_library,amenity_museum,amenity_music_venue,amenity_nightclub,amenity_parking,amenity_place_of_worship,amenity_planetarium,amenity_pub,amenity_public_building,amenity_public_facility,amenity_restaurant,amenity_school,amenity_shelter,amenity_shelter;ping pong tables,amenity_social_centre,amenity_social_facility,amenity_studio,amenity_theatre,amenity_toilets,amenity_university,historic_site,leisure_amusement_arcade,leisure_bleachers,leisure_garden,leisure_ice_rink,leisure_park,leisure_pitch,leisure_sports_centre,leisure_stadium,other,fortune,sbs
Abilene,TX,"abilene,TX",48.0,1000.0,Abilene city,125474.0,54493.0,137800.0,24821.0,12479.0,5654.0,1815.0,0.0144651481581841,0.1445159953456493,126356.0,59254.0,161800.0,24865.0,13104.0,5545.0,1598.0,0.0126468074329671,0.147590933552819,127130.0,62720.0,178900.0,25975.0,13865.0,5723.0,1563.0,0.0122945016911822,0.1540785023204593,219,"Abilene, TX",87,19.0,9.0,7.0,9.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,52,9.0,6.0,9.0,5.0,16.0,5.0,0.0,3.0,0.0,1.0,6.0,1.0,0.0,17,3,3,5.0,1.0,16.0,1.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,48,0,0,6,11,0,11
Akron,OH,"akron,OH",39.0,1000.0,Akron city,191483.0,42129.0,87100.0,41753.0,18685.0,7021.0,8457.0,0.0441658006193761,0.1342469044249359,190273.0,46596.0,99700.0,42005.0,18762.0,7546.0,7475.0,0.0392856579756455,0.1382644936485996,189526.0,48544.0,111200.0,42563.0,19644.0,7326.0,7804.0,0.0411764085138714,0.1423023753996813,127,"Akron, OH",138,23.0,11.0,19.0,5.0,3.0,1.0,3.0,5.0,13.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117,10.0,41.0,13.0,10.0,9.0,4.0,4.0,21.0,2.0,3.0,10.0,0.0,0.0,35,4,5,6.0,2.0,33.0,2.0,20.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,238,0,0,15,14,2,21
Alameda,CA,"alameda,CA",6.0,562.0,Alameda city,78320.0,113339.0,972800.0,14477.0,20631.0,9182.0,1980.0,0.0252808988764044,0.3806562819203268,77565.0,129917.0,1147600.0,14411.0,20232.0,9343.0,2139.0,0.0275768710114097,0.3812931090053503,76876.0,132015.0,1203900.0,14616.0,19464.0,9653.0,2070.0,0.0269264790051511,0.3787527967115875,454,"Alameda, CA",122,40.0,10.0,11.0,3.0,5.0,9.0,7.0,1.0,13.0,3.0,3.0,1.0,3.0,1.0,2.0,0.0,3.0,4.0,1.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,67,9.0,15.0,9.0,1.0,16.0,1.0,13.0,7.0,0.0,4.0,1.0,0.0,0.0,36,6,4,8.0,0.0,35.0,0.0,19.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,82,0,0,2,11,0,6
Albany,GA,"albany,GA",13.0,1052.0,Albany city,70748.0,40036.0,101200.0,11479.0,5353.0,2659.0,3218.0,0.0454853847458585,0.1132470175835359,68926.0,43724.0,111200.0,11144.0,5481.0,2892.0,3073.0,0.0445840466587354,0.1214781069552853,67939.0,45201.0,118700.0,10849.0,4905.0,3093.0,3321.0,0.0488820854001383,0.1177232517405319,532,"Albany, GA",138,37.0,15.0,11.0,17.0,3.0,5.0,1.0,6.0,7.0,1.0,8.0,1.0,2.0,1.0,0.0,6.0,5.0,3.0,4.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,76,9.0,9.0,7.0,5.0,19.0,3.0,24.0,3.0,0.0,0.0,5.0,0.0,0.0,29,5,4,6.0,1.0,28.0,1.0,24.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,47,0,0,2,1,0,12
Albany,NY,"albany,NY",36.0,1000.0,Albany city,99402.0,52583.0,186500.0,16200.0,13732.0,9201.0,4098.0,0.0412265346773706,0.2307096436691414,99692.0,54736.0,213400.0,15961.0,13837.0,8866.0,4441.0,0.0445472053926092,0.2277314127512739,100081.0,59485.0,223000.0,16585.0,15160.0,9255.0,4582.0,0.045782915838171,0.2439523985571687,321,"Albany, NY",138,37.0,15.0,11.0,17.0,3.0,5.0,1.0,6.0,7.0,1.0,8.0,1.0,2.0,1.0,0.0,6.0,5.0,3.0,4.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,76,9.0,9.0,7.0,5.0,19.0,3.0,24.0,3.0,0.0,0.0,5.0,0.0,0.0,29,5,4,6.0,1.0,28.0,1.0,24.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,0,211,0,0,9,22,0,21
Albany,OR,"albany,OR",41.0,1000.0,Albany city,55776.0,65587.0,271100.0,12734.0,6847.0,2174.0,2087.0,0.0374175272518646,0.161736230636833,56348.0,69777.0,321600.0,12930.0,7048.0,2546.0,1830.0,0.0324767516149641,0.1702633633846809,56773.0,73809.0,352900.0,12969.0,7228.0,2742.0,1646.0,0.0289926549592235,0.1756116463812023,696,"Albany, OR",138,37.0,15.0,11.0,17.0,3.0,5.0,1.0,6.0,7.0,1.0,8.0,1.0,2.0,1.0,0.0,6.0,5.0,3.0,4.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,76,9.0,9.0,7.0,5.0,19.0,3.0,24.0,3.0,0.0,0.0,5.0,0.0,0.0,29,5,4,6.0,1.0,28.0,1.0,24.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,42,0,0,1,2,0,2
Alexandria,LA,"alexandria,LA",22.0,975.0,Alexandria city,45736.0,43760.0,157100.0,9023.0,4665.0,1879.0,1743.0,0.0381100227391988,0.1430820360328843,45133.0,49049.0,179900.0,9208.0,4507.0,1962.0,1548.0,0.0342986284979948,0.1433319300733388,44566.0,47357.0,182800.0,8850.0,4234.0,1876.0,1210.0,0.0271507427186644,0.1371000314140824,887,"Alexandria, LA",284,53.0,21.0,29.0,36.0,6.0,10.0,8.0,12.0,12.0,0.0,7.0,6.0,8.0,7.0,5.0,6.0,7.0,9.0,5.0,5.0,1.0,3.0,0.0,5.0,1.0,0.0,3.0,0.0,3.0,5.0,0.0,6.0,6.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,189,9.0,11.0,32.0,10.0,23.0,5.0,86.0,13.0,0.0,5.0,4.0,0.0,0.0,72,26,9,14.0,8.0,62.0,8.0,39.0,1.0,8.0,2.0,3.0,3.0,4.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,0,0,3,7,0,12
Alexandria,VA,"alexandria,VA",51.0,1000.0,Alexandria city,158185.0,105450.0,579100.0,31857.0,37240.0,28301.0,3244.0,0.0205076334671429,0.4143313209217056,157594.0,113179.0,655700.0,31933.0,37901.0,28147.0,3197.0,0.0202863053161922,0.4191022500856631,156788.0,113638.0,696800.0,31674.0,37319.0,28341.0,3315.0,0.0211431997346735,0.4187820496466566,154,"Alexandria, VA",284,53.0,21.0,29.0,36.0,6.0,10.0,8.0,12.0,12.0,0.0,7.0,6.0,8.0,7.0,5.0,6.0,7.0,9.0,5.0,5.0,1.0,3.0,0.0,5.0,1.0,0.0,3.0,0.0,3.0,5.0,0.0,6.0,6.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,189,9.0,11.0,32.0,10.0,23.0,5.0,86.0,13.0,0.0,5.0,4.0,0.0,0.0,72,26,9,14.0,8.0,62.0,8.0,39.0,1.0,8.0,2.0,3.0,3.0,4.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,4,0,0,0,1,530,0,0,3,46,0,457
Alhambra,CA,"alhambra,CA",6.0,884.0,Alhambra city,83174.0,73035.0,654000.0,11850.0,15523.0,5646.0,2341.0,0.0281458147978935,0.2545146319763388,82295.0,80234.0,766000.0,12324.0,15815.0,5571.0,2405.0,0.0292241326933592,0.2598699799501792,81483.0,85189.0,812700.0,12652.0,16059.0,5669.0,2438.0,0.0299203514843587,0.2666568486678203,420,"Alhambra, CA",70,25.0,5.0,3.0,2.0,5.0,2.0,2.0,0.0,15.0,2.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,7.0,1.0,2.0,2.0,4.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,12,4,6,4.0,0.0,12.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,1,0,0,0,0,226,0,0,14,42,0,3
Aliso Viejo,CA,"aliso viejo,CA",6.0,947.0,Aliso Viejo city,51943.0,122320.0,685700.0,10813.0,12121.0,5599.0,1217.0,0.0234295285216487,0.3411431761738829,51896.0,131708.0,818500.0,10851.0,12613.0,5345.0,1149.0,0.022140434715585,0.3460382303067674,51320.0,137970.0,863800.0,10983.0,12754.0,5382.0,1117.0,0.0217653936087295,0.3533904910366329,767,"Aliso Viejo, CA",18,13.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,7.0,0.0,4.0,2.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4,2,1,2.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,273,0,0,1,5,0,11
Allen,TX,"allen,TX",48.0,1924.0,Allen city,102778.0,118254.0,344100.0,24440.0,22738.0,10897.0,2326.0,0.0226313024188055,0.3272587518729689,105444.0,121259.0,390200.0,24890.0,23009.0,11658.0,2458.0,0.0233109517848336,0.3287716702704753,107684.0,129130.0,429900.0,25354.0,23749.0,12717.0,2503.0,0.0232439359607741,0.3386389807213699,296,"Allen, TX",71,27.0,5.0,5.0,10.0,1.0,2.0,2.0,4.0,1.0,0.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39,9.0,2.0,6.0,4.0,13.0,1.0,0.0,4.0,0.0,1.0,7.0,0.0,0.0,16,7,1,8.0,0.0,16.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,228,0,0,12,10,0,24
Allentown,PA,"allentown,PA",42.0,2000.0,Allentown city,125250.0,47703.0,145700.0,18777.0,8953.0,2953.0,5887.0,0.047001996007984,0.0950578842315369,125292.0,52449.0,168800.0,19275.0,9872.0,2884.0,5808.0,0.0463557130543051,0.1018101714395172,125320.0,53403.0,188900.0,19483.0,10975.0,2820.0,5389.0,0.0430019150973507,0.1100781998084902,216,"Allentown, PA",113,25.0,5.0,15.0,3.0,3.0,0.0,0.0,0.0,13.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,97,9.0,27.0,9.0,7.0,38.0,0.0,3.0,1.0,5.0,3.0,4.0,0.0,0.0,7,2,3,2.0,3.0,4.0,3.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,1,0,0,0,0,244,0,0,8,33,2,18
Alpharetta,GA,"alpharetta,GA",13.0,1696.0,Alpharetta city,65187.0,133920.0,469800.0,15996.0,18058.0,9610.0,1719.0,0.0263702885544663,0.424440455919125,65884.0,141402.0,562000.0,16200.0,18131.0,10477.0,1730.0,0.0262582721146257,0.4342177159856717,66355.0,146581.0,605700.0,16872.0,18434.0,10770.0,2071.0,0.0312109110089669,0.4401175495441187,571,"Alpharetta, GA",84,33.0,2.0,4.0,14.0,3.0,3.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13,5.0,0.0,6.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,17,3,2,7.0,2.0,15.0,2.0,11.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,84,0,0,5,8,0,82
Altamonte Springs,FL,"altamonte springs,FL",12.0,950.0,Altamonte Springs city,45732.0,57629.0,204900.0,8421.0,9493.0,2614.0,1499.0,0.0327779235546225,0.2647380390098837,45772.0,61714.0,247200.0,8408.0,9117.0,2763.0,1494.0,0.0326400419470418,0.2595473215065979,45657.0,64106.0,263600.0,8637.0,9505.0,2916.0,1380.0,0.0302253761745186,0.2720502880171715,866,"Altamonte Springs, FL",33,19.0,1.0,1.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,2,1.0,2.0,1.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,94,0,0,4,6,0,15
Altoona,PA,"altoona,PA",42.0,2184.0,Altoona city,44114.0,46010.0,95500.0,11632.0,3914.0,1406.0,1383.0,0.0313505916489096,0.120596635988575,43821.0,50435.0,110700.0,12057.0,4081.0,1299.0,1258.0,0.0287076972227927,0.1227721868510531,43508.0,50171.0,113600.0,11867.0,4520.0,1211.0,1406.0,0.0323158959271858,0.1317229015353498,911,"Altoona, PA",51,14.0,5.0,6.0,9.0,0.0,1.0,0.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,8.0,9.0,4.0,6.0,6.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,4,4,2,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,0,0,3,6,0,11
Amarillo,TX,"amarillo,TX",48.0,3000.0,Amarillo city,200371.0,55174.0,148500.0,46128.0,21304.0,7005.0,3594.0,0.0179367273707273,0.1412829201830604,200360.0,60628.0,172700.0,46840.0,21918.0,7583.0,3463.0,0.0172838889998003,0.1472399680574965,200945.0,62469.0,186800.0,46816.0,22049.0,7908.0,3580.0,0.0178158202493219,0.1490805941924407,112,"Amarillo, TX",259,50.0,42.0,19.0,28.0,7.0,21.0,3.0,7.0,5.0,1.0,14.0,1.0,4.0,12.0,11.0,5.0,17.0,5.0,10.0,4.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,92,9.0,33.0,22.0,6.0,14.0,5.0,0.0,3.0,5.0,1.0,3.0,0.0,0.0,43,9,6,7.0,2.0,41.0,2.0,27.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,92,0,0,3,11,0,19
